! Freq(MHz)     Int(K)
 99114.7689       0.00 
 99115.0129       0.00 
 99115.2569       0.00 
 99115.5009       0.00 
 99115.7449       0.00 
 99115.9889       0.00 
 99116.2329       0.00 
 99116.4769       0.00 
 99116.7209       0.00 
 99116.9649       0.00 
 99117.2089       0.00 
 99117.4529       0.00 
 99117.6969       0.00 
 99117.9409       0.00 
 99118.1849       0.00 
 99118.4289       0.00 
 99118.6729       0.00 
 99118.9169       0.00 
 99119.1609       0.00 
 99119.4049       0.00 
 99119.6489       0.00 
 99119.8929       0.00 
 99120.1369       0.00 
 99120.3809       0.00 
 99120.6249       0.00 
 99120.8689       0.00 
 99121.1129       0.00 
 99121.3569       0.00 
 99121.6009       0.00 
 99121.8449       0.00 
 99122.0889       0.00 
 99122.3329       0.00 
 99122.5769       0.00 
 99122.8209       0.00 
 99123.0649       0.00 
 99123.3089       0.00 
 99123.5529       0.00 
 99123.7969       0.00 
 99124.0409       0.00 
 99124.2849       0.00 
 99124.5289       0.00 
 99124.7729       0.00 
 99125.0169       0.00 
 99125.2609       0.00 
 99125.5049       0.00 
 99125.7489       0.00 
 99125.9929       0.00 
 99126.2369       0.00 
 99126.4809       0.00 
 99126.7249       0.00 
 99126.9689       0.00 
 99127.2129       0.00 
 99127.4569       0.00 
 99127.7009       0.00 
 99127.9449       0.00 
 99128.1889       0.00 
 99128.4329       0.00 
 99128.6769       0.00 
 99128.9209       0.00 
 99129.1649       0.00 
 99129.4089       0.00 
 99129.6529       0.00 
 99129.8969       0.00 
 99130.1409       0.00 
 99130.3849       0.00 
 99130.6289       0.00 
 99130.8729       0.00 
 99131.1169       0.00 
 99131.3609       0.00 
 99131.6049       0.00 
 99131.8489       0.00 
 99132.0929       0.00 
 99132.3369       0.00 
 99132.5809       0.00 
 99132.8249       0.00 
 99133.0689       0.00 
 99133.3129       0.00 
 99133.5569       0.00 
 99133.8009       0.00 
 99134.0449       0.00 
 99134.2889       0.00 
 99134.5329       0.00 
 99134.7769       0.00 
 99135.0209       0.00 
 99135.2649       0.00 
 99135.5089       0.00 
 99135.7529       0.00 
 99135.9969       0.00 
 99136.2409       0.00 
 99136.4849       0.00 
 99136.7289       0.00 
 99136.9729       0.00 
 99137.2169       0.00 
 99137.4609       0.00 
 99137.7049       0.00 
 99137.9489       0.00 
 99138.1929       0.00 
 99138.4369       0.00 
 99138.6809       0.00 
 99138.9249       0.00 
 99139.1689       0.00 
 99139.4129       0.00 
 99139.6569       0.00 
 99139.9009       0.00 
 99140.1449       0.00 
 99140.3889       0.00 
 99140.6329       0.00 
 99140.8769       0.00 
 99141.1209       0.00 
 99141.3649       0.00 
 99141.6089       0.00 
 99141.8529       0.00 
 99142.0969       0.00 
 99142.3409       0.00 
 99142.5849       0.00 
 99142.8289       0.00 
 99143.0729       0.00 
 99143.3169       0.00 
 99143.5609       0.00 
 99143.8049       0.00 
 99144.0489       0.00 
 99144.2929       0.00 
 99144.5369       0.00 
 99144.7809       0.00 
 99145.0249       0.00 
 99145.2689       0.00 
 99145.5129       0.00 
 99145.7569       0.00 
 99146.0009       0.00 
 99146.2449       0.00 
 99146.4889       0.00 
 99146.7329       0.00 
 99146.9769       0.00 
 99147.2209       0.00 
 99147.4649       0.00 
 99147.7089       0.00 
 99147.9529       0.00 
 99148.1969       0.00 
 99148.4409       0.00 
 99148.6849       0.00 
 99148.9289       0.00 
 99149.1729       0.00 
 99149.4169       0.00 
 99149.6609       0.00 
 99149.9049       0.00 
 99150.1489       0.00 
 99150.3929       0.00 
 99150.6369       0.00 
 99150.8809       0.00 
 99151.1249       0.00 
 99151.3689       0.00 
