! Freq(MHz)     Int(K)
 97405.8101       0.00 
 97406.0541       0.00 
 97406.2981       0.00 
 97406.5421       0.00 
 97406.7861       0.00 
 97407.0301       0.00 
 97407.2741       0.00 
 97407.5181       0.00 
 97407.7621       0.00 
 97408.0061       0.00 
 97408.2501       0.00 
 97408.4941       0.00 
 97408.7381       0.00 
 97408.9821       0.00 
 97409.2261       0.00 
 97409.4701       0.00 
 97409.7141       0.00 
 97409.9581       0.00 
 97410.2021       0.00 
 97410.4461       0.00 
 97410.6901       0.00 
 97410.9341       0.00 
 97411.1781       0.00 
 97411.4221       0.00 
 97411.6661       0.00 
 97411.9101       0.00 
 97412.1541       0.00 
 97412.3981       0.00 
 97412.6421       0.00 
 97412.8861       0.00 
 97413.1301       0.00 
 97413.3741       0.00 
 97413.6181       0.00 
 97413.8621       0.00 
 97414.1061       0.00 
 97414.3501       0.00 
 97414.5941       0.00 
 97414.8381       0.00 
 97415.0821       0.00 
 97415.3261       0.00 
 97415.5701       0.00 
 97415.8141       0.00 
 97416.0581       0.00 
 97416.3021       0.00 
 97416.5461       0.00 
 97416.7901       0.00 
 97417.0341       0.00 
 97417.2781       0.00 
 97417.5221       0.00 
 97417.7661       0.00 
 97418.0101       0.00 
 97418.2541       0.00 
 97418.4981       0.00 
 97418.7421       0.00 
 97418.9861       0.00 
 97419.2301       0.00 
 97419.4741       0.00 
 97419.7181       0.00 
 97419.9621       0.00 
 97420.2061       0.00 
 97420.4501       0.00 
 97420.6941       0.00 
 97420.9381       0.00 
 97421.1821       0.00 
 97421.4261       0.00 
 97421.6701       0.00 
 97421.9141       0.00 
 97422.1581       0.00 
 97422.4021       0.00 
 97422.6461       0.00 
 97422.8901       0.00 
 97423.1341       0.00 
 97423.3781       0.00 
 97423.6221       0.00 
 97423.8661       0.00 
 97424.1101       0.00 
 97424.3541       0.00 
 97424.5981       0.00 
 97424.8421       0.00 
 97425.0861       0.00 
 97425.3301       0.00 
 97425.5741       0.00 
 97425.8181       0.00 
 97426.0621       0.00 
 97426.3061       0.00 
 97426.5501       0.00 
 97426.7941       0.00 
 97427.0381       0.00 
 97427.2821       0.00 
 97427.5261       0.00 
 97427.7701       0.00 
 97428.0141       0.00 
 97428.2581       0.00 
 97428.5021       0.00 
 97428.7461       0.00 
 97428.9901       0.00 
 97429.2341       0.00 
 97429.4781       0.00 
 97429.7221       0.00 
 97429.9661       0.00 
 97430.2101       0.00 
 97430.4541       0.00 
 97430.6981       0.00 
 97430.9421       0.00 
 97431.1861       0.00 
 97431.4301       0.00 
 97431.6741       0.00 
 97431.9181       0.00 
